Id,Lat,Long
46100204,47.5673,-122.21
46100504,47.5648,-122.21
121039042,47.3351,-122.362
148000705,47.5732,-122.411
518500610,47.5299,-122.203
521049227,47.3389,-122.334
573000685,47.6712,-122.409
587550280,47.3241,-122.378
623039026,47.5098,-122.474
824059265,47.5873,-122.205
825059178,47.6646,-122.208
868001790,47.7028,-122.385
913000340,47.5832,-122.399
1454600256,47.7216,-122.282
1524039043,47.5689,-122.408
1568100920,47.7364,-122.286
1724069060,47.5684,-122.06
1814800060,47.6788,-122.346
1822039138,47.3905,-122.462
1825069031,47.6499,-122.088
1959701890,47.6462,-122.318
1962200435,47.6476,-122.318
1964700054,47.644,-122.327
2025049111,47.6452,-122.317
2025049114,47.6412,-122.329
2025069025,47.6394,-122.077
2344300180,47.5818,-122.198
2525049263,47.6217,-122.239
2560805440,47.3787,-122.323
2579500110,47.5358,-122.213
2581300055,47.5374,-122.213
2607801120,47.5742,-122.11
2726049034,47.7175,-122.278
2818600060,47.6999,-122.393
2929600035,47.4462,-122.359
3222049159,47.355,-122.319
3342100569,47.5172,-122.208
3342700371,47.5243,-122.204
3577000116,47.7473,-122.261
3616600003,47.7258,-122.37
3629160060,47.5259,-122.204
3760500280,47.6982,-122.231
3760500516,47.7022,-122.227
3761700053,47.7205,-122.26
3896100130,47.6938,-122.215
4058200040,47.5057,-122.231
4154303215,47.567,-122.273
4218400100,47.6626,-122.269
4385700660,47.6384,-122.279
4385700735,47.6371,-122.279
4441300170,47.6952,-122.402
5067400032,47.3716,-122.321
5215200010,47.4003,-122.422
5249803645,47.5647,-122.27
5451300105,47.5319,-122.238
5486800070,47.5666,-122.231
5700003630,47.5789,-122.286
6102400166,47.4663,-122.369
6117500320,47.4389,-122.351
6117501015,47.432,-122.348
6329000050,47.5007,-122.382
6371000026,47.5788,-122.41
6372000280,47.5812,-122.403
6398000191,47.4022,-122.464
7129303070,47.5188,-122.256
7203600040,47.3449,-122.329
7203600560,47.3443,-122.327
7430500301,47.6208,-122.093
7524950710,47.5603,-122.081
7632400400,47.458,-122.368
7768800290,47.5754,-122.071
7772800020,47.7147,-122.373
7781600100,47.4857,-122.361
8106100085,47.5846,-122.223
8550001515,47.3551,-122.475
8888000055,47.4781,-122.49
9201300020,47.5789,-122.076
9273200145,47.5909,-122.384
9829200325,47.6061,-122.286
